都道府県名,municipality,town,小字・通称名,街区符号・地番,座標系番号,Ｘ座標,Ｙ座標,latitude,longitude,住居表示フラグ,代表フラグ,更新前履歴フラグ,更新後履歴フラグ
愛知県,半田市,美原町一丁目,,26,7,-120012.8,-20173,34.917997,136.945882,0,1,0,0
愛知県,半田市,美原町二丁目,,1,7,-119810.6,-20126.5,34.91982,136.946388,0,1,0,0
愛知県,半田市,柊町一丁目,,88,7,-121915.5,-22807.2,34.90079,136.917104,0,1,0,0
愛知県,半田市,柊町五丁目,,15,7,-121945.5,-23606.9,34.9005,136.908355,1,1,0,0
愛知県,半田市,柊町三丁目,,9,7,-122054.3,-23191.5,34.899529,136.912904,1,1,0,0
愛知県,半田市,柊町四丁目,,211,7,-121725.5,-23422.2,34.902489,136.91037,1,1,0,0
愛知県,半田市,柊町二丁目,,1,7,-121594,-23076.2,34.903682,136.914152,0,1,0,0
愛知県,半田市,彦洲町一丁目,,124,7,-123224.5,-24182.7,34.888956,136.902093,0,1,0,0
愛知県,半田市,彦洲町三丁目,,6,7,-123325.1,-24340.7,34.888047,136.900364,0,1,0,0
愛知県,半田市,彦洲町四丁目,,161,7,-122871.3,-24465.7,34.892133,136.898984,0,1,0,0
愛知県,半田市,彦洲町二丁目,,24,7,-123542.8,-24059.7,34.886091,136.903446,0,1,0,0
愛知県,半田市,苗代町一丁目,,42,7,-120245.1,-20797.7,34.915891,136.939052,0,1,0,0
愛知県,半田市,苗代町二丁目,,8,7,-120107.3,-20992.2,34.91713,136.936919,0,1,0,0
愛知県,半田市,浜町,,1,7,-123175.1,-21320,34.889467,136.933411,0,1,0,0
愛知県,半田市,浜田町一丁目,,10,7,-121526.1,-19929.2,34.904361,136.948587,0,1,0,0
愛知県,半田市,浜田町三丁目,,13,7,-121790.1,-21038,34.901958,136.936461,0,1,0,0
愛知県,半田市,浜田町二丁目,,24,7,-121697.6,-20244.5,34.902808,136.945141,0,1,0,0
愛知県,半田市,冨士ケ丘六丁目,,99,7,-124965.3,-24453,34.873257,136.899184,0,1,0,0
愛知県,半田市,福地町,,59,7,-122552.5,-24321.9,34.895012,136.90055,0,1,0,0
愛知県,半田市,平井町一丁目,,3,7,-120759.5,-24597.7,34.911169,136.897478,0,1,0,0
愛知県,半田市,平井町五丁目,,1,7,-121035.6,-24858.7,34.908673,136.894631,0,1,0,0
愛知県,半田市,平井町三丁目,,2,7,-121212.6,-24589.7,34.907083,136.897579,0,1,0,0
愛知県,半田市,平井町四丁目,,21,7,-121489,-24616.2,34.904592,136.897298,0,1,0,0
愛知県,半田市,平井町七丁目,,43,7,-120789.3,-24723.5,34.910896,136.896104,0,1,0,0
愛知県,半田市,平井町二丁目,,8,7,-121036.3,-24604.2,34.908673,136.897415,0,1,0,0
愛知県,半田市,平井町六丁目,,21,7,-120943.8,-24750.7,34.909503,136.895811,0,1,0,0
愛知県,半田市,平地町一丁目,,57,7,-120262.6,-19267,34.915762,136.955804,0,1,0,0
愛知県,半田市,平地町五丁目,,7,7,-119773,-19426,34.920174,136.954051,0,1,0,0
愛知県,半田市,平地町三丁目,,80,7,-120517.8,-19448.7,34.91346,136.953822,0,1,0,0
愛知県,半田市,平地町四丁目,,152,7,-120500.1,-19713.7,34.913612,136.95092,0,1,0,0
愛知県,半田市,平地町二丁目,,49,7,-120175.6,-19435,34.916544,136.953962,0,1,0,0
愛知県,半田市,平地馬場町二丁目,,3,7,-119220.8,-19341.7,34.925153,136.954961,0,1,0,0
愛知県,半田市,平和町一丁目,,53,7,-120963.3,-24076.9,34.909343,136.903185,0,1,0,0
愛知県,半田市,平和町五丁目,,1,7,-121034,-24434.2,34.908698,136.899275,0,1,0,0
愛知県,半田市,平和町三丁目,,5,7,-121230.5,-24142.7,34.906934,136.90247,0,1,0,0
愛知県,半田市,平和町四丁目,,1,7,-121380.3,-24459,34.905576,136.899013,0,1,0,0
愛知県,半田市,平和町七丁目,,55,7,-120772.8,-24485.5,34.911051,136.898707,0,1,0,0
愛知県,半田市,平和町二丁目,,98,7,-120996.5,-24329.4,34.909039,136.900421,0,1,0,0
愛知県,半田市,平和町六丁目,,26,7,-120939.1,-24456,34.909553,136.899035,0,1,0,0
愛知県,半田市,宝来町五丁目,,5,7,-120936.3,-25864.4,34.909542,136.883623,0,1,0,0
愛知県,半田市,宝来町三丁目,,26,7,-121223,-25703.7,34.906962,136.88539,0,1,0,0
愛知県,半田市,宝来町四丁目,,26,7,-121217.3,-25780.2,34.907012,136.884553,0,1,0,0
愛知県,半田市,北滑草町,,160,7,-122247.3,-24155.4,34.897767,136.902363,0,1,0,0
愛知県,半田市,北大矢知町一丁目,,65,7,-118584.8,-21000.7,34.930852,136.936788,0,1,0,0
愛知県,半田市,北大矢知町三丁目,,96,7,-118254.1,-20632,34.933843,136.940816,0,1,0,0
愛知県,半田市,北大矢知町二丁目,,23,7,-118028.1,-20787.2,34.935876,136.939111,0,1,0,0
愛知県,半田市,北二ツ坂町一丁目,,1,7,-122591.6,-23292.5,34.894683,136.911812,1,1,0,0
愛知県,半田市,北二ツ坂町三丁目,,1,7,-122399.6,-23556.4,34.896408,136.908921,1,1,0,0
愛知県,半田市,北二ツ坂町二丁目,,1,7,-122658.3,-23593,34.894075,136.908525,1,1,0,0
愛知県,半田市,北末広町,,51,7,-122636.8,-21742.7,34.894309,136.928772,0,1,0,0
愛知県,半田市,堀崎町一丁目,,1,7,-122161.5,-21747.7,34.898595,136.928704,0,1,0,0
愛知県,半田市,堀崎町二丁目,,33,7,-122341.6,-21779,34.89697,136.928366,0,1,0,0
愛知県,半田市,本町一丁目,,1,7,-121833,-21258.7,34.901567,136.934047,0,1,0,0
愛知県,半田市,本町五丁目,,1,7,-122216.5,-21305.5,34.898108,136.933542,0,1,0,0
愛知県,半田市,本町三丁目,,31,7,-122115.8,-21203.7,34.899019,136.934655,0,1,0,0
愛知県,半田市,本町四丁目,,13,7,-122157.8,-21285.2,34.898639,136.933765,0,1,0,0
愛知県,半田市,本町七丁目,,1,7,-122336,-21349.5,34.89703,136.933065,0,1,0,0
愛知県,半田市,本町二丁目,,8,7,-121991.6,-21242,34.900137,136.934232,0,1,0,0
愛知県,半田市,本町六丁目,,1,7,-122232.5,-21361.4,34.897962,136.932932,0,1,0,0
愛知県,半田市,妙見町,,12,7,-123054.6,-21519.7,34.890549,136.93122,0,1,0,0
愛知県,半田市,有楽町一丁目,,103,7,-124049.6,-22309,34.881562,136.922613,0,1,0,0
愛知県,半田市,有楽町五丁目,,216,7,-124680.8,-22870.9,34.875858,136.916483,0,1,0,0
愛知県,半田市,有楽町三丁目,,228,7,-124241.5,-22699,34.879823,136.918351,0,1,0,0
愛知県,半田市,有楽町四丁目,,223,7,-124340.3,-22747.5,34.878931,136.917823,0,1,0,0
愛知県,半田市,有楽町七丁目,,11,7,-124955.6,-22867,34.873381,136.916534,0,1,0,0
愛知県,半田市,有楽町二丁目,,18,7,-124101.3,-22558,34.88109,136.91989,0,1,0,0
愛知県,半田市,有楽町八丁目,,8,7,-125259.5,-22770.5,34.870645,136.917597,0,1,0,0
愛知県,半田市,有楽町六丁目,,7,7,-124796.6,-22857.4,34.874814,136.916635,0,1,0,0
愛知県,半田市,有脇町一丁目,,1,7,-118800.1,-19088,34.92895,136.957729,0,1,0,0
愛知県,半田市,有脇町九丁目,,1,7,-118118.3,-19217,34.935094,136.956301,0,1,0,0
愛知県,半田市,有脇町五丁目,,49,7,-118355.5,-19233.7,34.932955,136.956124,0,1,0,0
愛知県,半田市,有脇町三丁目,,31,7,-118540.3,-19332.4,34.931289,136.955049,0,1,0,0
愛知県,半田市,有脇町四丁目,,1,7,-118577.3,-19207,34.930956,136.956422,0,1,0,0
愛知県,半田市,有脇町七丁目,,14,7,-118179.8,-19140.4,34.934542,136.957142,0,1,0,0
愛知県,半田市,有脇町十一丁目,,1,7,-117930.8,-19326.4,34.936782,136.955099,0,1,0,0
愛知県,半田市,有脇町十五丁目,,2,7,-117784.3,-19329.7,34.938104,136.955061,0,1,0,0
愛知県,半田市,有脇町十三丁目,,83,7,-117930,-18917.5,34.936798,136.959575,0,1,0,0
愛知県,半田市,有脇町十四丁目,,3,7,-117832.3,-19089.7,34.937674,136.957687,0,1,0,0
愛知県,半田市,有脇町十丁目,,30,7,-118143.3,-19334,34.934868,136.955022,0,1,0,0
愛知県,半田市,有脇町十二丁目,,1,7,-118026.1,-19057,34.935929,136.958051,0,1,0,0
愛知県,半田市,有脇町二丁目,,38,7,-118672.3,-19233.5,34.9301,136.956134,0,1,0,0
愛知県,半田市,有脇町八丁目,,73,7,-118206.8,-18983.5,34.934302,136.958861,0,1,0,0
愛知県,半田市,有脇町六丁目,,1,7,-118238.5,-19330.7,34.934009,136.95506,0,1,0,0
愛知県,半田市,緑ケ丘一丁目,,26,7,-118686.1,-19587.7,34.929969,136.952257,0,1,0,0
愛知県,半田市,緑ケ丘九丁目,,48,7,-117950.8,-19727.9,34.936594,136.950705,0,1,0,0
愛知県,半田市,緑ケ丘五丁目,,24,7,-118407.6,-19780.2,34.932476,136.950142,0,1,0,0
愛知県,半田市,緑ケ丘三丁目,,3,7,-118341.5,-19605.5,34.933075,136.952055,0,1,0,0
愛知県,半田市,緑ケ丘四丁目,,1,7,-118205.3,-19550.7,34.934303,136.952652,0,1,0,0
愛知県,半田市,緑ケ丘七丁目,,12,7,-118144,-20140.2,34.934846,136.946197,0,1,0,0
愛知県,半田市,緑ケ丘十一丁目,,1,7,-117897.6,-19501.9,34.937078,136.953178,0,1,0,0
愛知県,半田市,緑ケ丘十三丁目,,42,7,-117461.6,-19905.9,34.941001,136.948746,0,1,0,0
愛知県,半田市,緑ケ丘十丁目,,1,7,-118120.8,-19555.5,34.935065,136.952596,0,1,0,0
愛知県,半田市,緑ケ丘十二丁目,,43,7,-117962.3,-19622.5,34.936492,136.95186,0,1,0,0
愛知県,半田市,緑ケ丘二丁目,,120,7,-118546.1,-19648.2,34.931229,136.951591,0,1,0,0
愛知県,半田市,緑ケ丘八丁目,,4,7,-117990.1,-19953,34.936236,136.94824,0,1,0,0
愛知県,半田市,緑ケ丘六丁目,,15,7,-118233.8,-19939.5,34.934038,136.948396,0,1,0,0
愛知県,半田市,兀山町,,171,7,-119602.8,-21282.5,34.921669,136.933728,0,1,0,0
愛知県,半田市,葭谷町二丁目,,83,7,-122655.1,-24176.5,34.894091,136.902141,0,1,0,0
愛知県,半田市,鴉根町一丁目,,102,7,-124574.3,-24544.4,34.876779,136.898174,0,1,0,0
愛知県,半田市,鴉根町三丁目,,23,7,-124611.1,-25332.2,34.876429,136.889556,0,1,0,0
愛知県,半田市,鴉根町四丁目,,86,7,-124572,-25813,34.87677,136.884298,0,1,0,0
愛知県,半田市,鴉根町二丁目,,69,7,-124523.1,-24948.2,34.877231,136.893755,0,1,0,0
